,dataset,non_iid,aggregator,attack,fraction,accuracy_m,accuracy_s
197,cifar,0.4,krum,deletedata,0.1,0.5865499973297119,0.05875290656217856
198,cifar,0.7,trimmedmean,unbalancedata,0.3,0.6888000071048737,0.027704665234294764
199,cifar,0.7,trimmedmean,unbalancedata,0.5,0.6615999937057495,0.03767332369095325
200,cifar,0.4,trimmedmean,noisedata,0.5,0.6331499814987183,0.031108673033747637
201,cifar,0.7,median,overlapdata,0.5,0.6683000028133392,0.04220180238121786
202,cifar,0,krum,deletedata,0.3,0.5679500102996826,0.005044043454012582
203,cifar,0.4,trimmedmean,overlapdata,0.5,0.7109000086784363,0.026316419953035488
204,cifar,0.4,trimmedmean,unbalancedata,0.1,0.7497000098228455,0.007816799644648412
205,cifar,0.4,trimmedmean,unbalancedata,0.3,0.7357499897480011,0.010889847784228354
206,cifar,0,krum,overlapdata,0.3,0.6965000033378601,0.005654119223590328
207,cifar,0.4,median,unbalancedata,0.3,0.7331999838352203,0.013360765641662466
208,cifar,0,trimmedmean,unbalancedata,0.3,0.7597000002861023,0.001988440518902982
209,cifar,0,trimmedmean,deletedata,0.1,0.7705000042915344,0.001594390225216366
210,cifar,0,trimmedmean,overlapdata,0.5,0.7767000198364258,0.005638207727229793
211,cifar,0.4,median,overlapdata,0.3,0.7190999984741211,0.014523467891205444
212,cifar,0.7,median,overlapdata,0.3,0.679749995470047,0.037029203010738136
213,cifar,0.7,median,overlapdata,0.1,0.6581000089645386,0.041541996348141895
214,cifar,0.4,trimmedmean,noisedata,0.3,0.7056000232696533,0.012586911636195429
215,cifar,0,trimmedmean,unbalancedata,0.1,0.7839000225067139,0.0013802474360670393
216,cifar,0,krum,unbalancedata,0.1,0.7020500004291534,0.0052403122398777344
217,cifar,0.7,median,unbalancedata,0.5,0.6631499826908112,0.035948571554789435
218,cifar,0,median,noisedata,0.5,0.7139999866485596,0.0022506144058209517
219,cifar,0.7,krum,unbalancedata,0.5,0.48569999635219574,0.04174253271170141
220,cifar,0.4,median,deletedata,0.5,0.665800005197525,0.014257035793841967
221,cifar,0,trimmedmean,deletedata,0.5,0.739549994468689,0.003324075730725076
222,cifar,0.4,krum,overlapdata,0.3,0.615200012922287,0.04188986149805795
223,cifar,0.4,trimmedmean,deletedata,0.1,0.7525999844074249,0.007159120527924307
224,cifar,0.4,trimmedmean,noisedata,0.1,0.7464500069618225,0.0073231353471437215
225,cifar,0.7,median,deletedata,0.5,0.6107499897480011,0.03439604798659337
226,cifar,0.7,krum,deletedata,0.1,0.5329999923706055,0.07166021701947888
227,cifar,0.7,median,unbalancedata,0.1,0.6611500084400177,0.035129934866567944
228,cifar,0,median,deletedata,0.1,0.7578999996185303,0.0013653857117341143
229,cifar,0,krum,unbalancedata,0.5,0.6866999864578247,0.006145717333253459
230,cifar,0.7,trimmedmean,overlapdata,0.3,0.6890000104904175,0.036804600164315325
231,cifar,0,median,deletedata,0.5,0.7063999772071838,0.0020687353629213366
232,cifar,0.4,median,overlapdata,0.1,0.7162500023841858,0.015829314397765287
233,cifar,0.4,trimmedmean,unbalancedata,0.5,0.7116000056266785,0.02186620122172674
234,cifar,0.7,krum,noisedata,0.1,0.4815499931573868,0.07270610720369954
235,cifar,0.4,krum,deletedata,0.3,0.5191999971866608,0.011323210664228265
236,cifar,0.4,trimmedmean,deletedata,0.3,0.7347999811172485,0.010684483186894038
237,cifar,0.4,median,unbalancedata,0.5,0.7321999967098236,0.012642177378479258
238,cifar,0.7,trimmedmean,overlapdata,0.1,0.7459000051021576,0.013814917205355291
239,cifar,0,median,unbalancedata,0.5,0.7630000114440918,0.002584823176359737
240,cifar,0.7,trimmedmean,unbalancedata,0.1,0.723800003528595,0.01737939339234
241,cifar,0.4,median,noisedata,0.1,0.7224999964237213,0.01394972932918553
242,cifar,0.7,trimmedmean,deletedata,0.1,0.7188999950885773,0.015446174819844056
243,cifar,0,trimmedmean,deletedata,0.3,0.7480000257492065,0.001982487790626744
244,cifar,0.7,median,noisedata,0.5,0.5904000103473663,0.0389851140230627
245,cifar,0.4,krum,unbalancedata,0.1,0.5673500001430511,0.049706653394758465
246,cifar,0,median,overlapdata,0.3,0.7673500180244446,0.0018479719794669506
247,cifar,0,trimmedmean,unbalancedata,0.5,0.7638500034809113,0.008054112754953014
248,cifar,0,trimmedmean,overlapdata,0.1,0.7721999883651733,0.0019202267146952114
249,cifar,0.4,krum,unbalancedata,0.3,0.5733999907970428,0.060857412258335124
250,cifar,0.7,krum,overlapdata,0.5,0.49674999713897705,0.03758799031160524
251,cifar,0.7,trimmedmean,deletedata,0.3,0.6509499847888947,0.02709871282095
252,cifar,0.7,median,deletedata,0.1,0.6389999985694885,0.03865257310589797
253,cifar,0,krum,overlapdata,0.5,0.6844500005245209,0.01019853876542357
254,cifar,0.7,krum,noisedata,0.3,0.45329999923706055,0.03444160325212468
255,cifar,0.7,krum,deletedata,0.3,0.45865000784397125,0.035521265976564693
256,cifar,0,krum,noisedata,0.3,0.6691500246524811,0.014666544241954538
257,cifar,0.7,krum,noisedata,0.5,0.4729500114917755,0.03593231377282344
258,cifar,0.7,median,noisedata,0.1,0.6660000085830688,0.03598524515245286
259,cifar,0.7,trimmedmean,deletedata,0.5,0.6178500056266785,0.038590226630784416
260,cifar,0.4,median,deletedata,0.3,0.7019000053405762,0.011309618611829586
261,cifar,0,trimmedmean,noisedata,0.5,0.7186999917030334,0.006889348513796855
262,cifar,0,median,deletedata,0.3,0.7427499890327454,0.0015115501623156995
263,cifar,0.4,krum,unbalancedata,0.5,0.5418500006198883,0.06559724841651249
264,cifar,0.4,krum,noisedata,0.1,0.5954999923706055,0.028446010450897563
265,cifar,0.4,krum,overlapdata,0.5,0.6103500127792358,0.027865956368384723
266,cifar,0,trimmedmean,overlapdata,0.3,0.7775499820709229,0.002202653390289606
267,cifar,0.4,trimmedmean,overlapdata,0.1,0.7612500190734863,0.0068956413778929766
268,cifar,0.7,trimmedmean,noisedata,0.3,0.6446000039577484,0.027111892213956944
269,cifar,0,median,unbalancedata,0.3,0.761900007724762,0.0018141396871050976
270,cifar,0.7,trimmedmean,overlapdata,0.5,0.6312000155448914,0.0577433973971466
271,cifar,0,trimmedmean,noisedata,0.3,0.7347999811172485,0.003266415412127091
272,cifar,0,trimmedmean,noisedata,0.1,0.755950003862381,0.0026872220284342436
273,cifar,0,krum,overlapdata,0.1,0.697700023651123,0.0050985746011758875
274,cifar,0.7,krum,overlapdata,0.3,0.4854000061750412,0.046539888794216715
275,cifar,0.4,krum,noisedata,0.3,0.6040000021457672,0.07786109791976144
276,cifar,0.4,median,deletedata,0.1,0.7271000146865845,0.012250250241752192
277,cifar,0.4,krum,deletedata,0.5,0.5237500071525574,0.019868205512554294
278,cifar,0.7,krum,unbalancedata,0.1,0.4810499995946884,0.03489218757412643
279,cifar,0.4,median,noisedata,0.3,0.6837000250816345,0.017530242755036486
280,cifar,0,krum,unbalancedata,0.3,0.681549996137619,0.006284746103648779
281,cifar,0.4,median,unbalancedata,0.1,0.7310000061988831,0.014273676696468859
282,cifar,0.7,median,unbalancedata,0.3,0.6678999960422516,0.0289702662099129
283,cifar,0.4,median,overlapdata,0.5,0.7343499958515167,0.014716060802600081
284,cifar,0,krum,noisedata,0.1,0.6942500174045563,0.01799814442171435
285,cifar,0,krum,noisedata,0.5,0.6475500166416168,0.009146281629500265
286,cifar,0.4,krum,overlapdata,0.1,0.6133500039577484,0.04225033020219619
287,cifar,0,median,noisedata,0.1,0.7669500112533569,0.0020250284120774064
288,cifar,0.7,trimmedmean,noisedata,0.1,0.7077000141143799,0.016856785599854904
289,cifar,0,median,unbalancedata,0.1,0.772599995136261,0.0017005923460017007
290,cifar,0,median,noisedata,0.3,0.7491000294685364,0.0033179457462432053
291,cifar,0.7,krum,overlapdata,0.1,0.5274500250816345,0.039083529336945734
292,cifar,0,median,overlapdata,0.5,0.7690500020980835,0.0019300068084161957
293,cifar,0.4,median,noisedata,0.5,0.6775500178337097,0.018570994495350136
294,cifar,0.7,median,noisedata,0.3,0.6288500130176544,0.03872082760056348
295,cifar,0,median,overlapdata,0.1,0.7749000191688538,0.0016939781445101457
296,cifar,0.7,median,deletedata,0.3,0.6194999814033508,0.037017135499271485
297,cifar,0.7,krum,unbalancedata,0.3,0.4766499996185303,0.03493337156703076
298,cifar,0.4,trimmedmean,deletedata,0.5,0.7040500044822693,0.011566300391899806
299,cifar,0.4,krum,noisedata,0.5,0.5446999967098236,0.06504686785215526
